mean_fit_time,std_fit_time,mean_score_time,std_score_time,bootstrap,class_weight,criterion,max_depth,max_features,n_estimators,n_jobs,mean_test_score,std_test_score
11.547,0.773,0.294,0.054,False,balanced,entropy,4,log2,130,-1,0.34,0.035
92.888,2.505,0.579,0.147,False,balanced,log_loss,6,log2,757,-1,0.339,0.033
25.65,0.7,0.466,0.053,True,balanced,entropy,6,sqrt,318,-1,0.339,0.032
87.387,2.089,0.728,0.063,True,balanced,log_loss,7,sqrt,952,-1,0.338,0.033
39.393,1.379,0.308,0.059,False,balanced,entropy,1,,376,-1,0.335,0.025
10.22,0.278,0.395,0.011,False,balanced,gini,1,log2,464,-1,0.322,0.025
119.159,1.957,0.471,0.057,True,balanced,gini,7,,337,-1,0.322,0.038
9.667,0.801,0.34,0.064,False,balanced,log_loss,1,log2,403,-1,0.32,0.023
16.816,0.606,0.494,0.107,False,balanced,log_loss,1,log2,642,-1,0.318,0.023
15.288,1.139,0.429,0.046,False,balanced,log_loss,1,sqrt,624,-1,0.318,0.023
352.137,6.008,0.52,0.076,False,balanced,entropy,9,,428,-1,0.3,0.048
628.598,9.355,0.727,0.111,False,balanced,log_loss,12,,634,-1,0.29,0.041
167.924,2.851,0.975,0.116,False,balanced,entropy,15,log2,651,-1,0.29,0.026
412.873,8.316,0.864,0.11,True,balanced,log_loss,18,,566,-1,0.242,0.067
621.953,10.339,0.521,0.259,False,,log_loss,17,,771,-1,0.207,0.04
569.471,12.41,0.801,0.03,False,,gini,9,,928,-1,0.112,0.043
150.858,3.009,1.374,0.104,True,,log_loss,16,log2,896,-1,0.059,0.029
118.795,3.567,0.355,0.042,False,,entropy,6,,215,-1,0.045,0.025
135.032,2.487,0.904,0.053,False,,entropy,12,sqrt,654,-1,0.036,0.02
279.202,6.348,0.628,0.099,False,,entropy,3,,989,-1,0.033,0.053
107.306,2.678,0.959,0.143,True,,entropy,11,log2,808,-1,0.022,0.016
24.497,0.529,0.358,0.064,True,,entropy,9,log2,214,-1,0.012,0.01
70.357,1.832,0.731,0.077,True,,gini,8,sqrt,824,-1,0.011,0.008
89.902,1.642,0.631,0.055,False,,entropy,9,sqrt,528,-1,0.011,0.011
124.937,2.321,0.481,0.158,True,,entropy,3,,603,-1,0.004,0.006
69.242,1.648,0.708,0.077,True,,entropy,7,sqrt,747,-1,0.004,0.003
46.198,0.943,0.543,0.042,True,,log_loss,6,log2,569,-1,0.002,0.002
53.255,1.996,0.391,0.118,False,,gini,1,,629,-1,0.0,0.0
16.681,0.371,0.38,0.073,True,,gini,4,sqrt,337,-1,0.0,0.0
12.124,0.523,0.35,0.055,True,,entropy,3,log2,254,-1,0.0,0.0
