mean_fit_time,std_fit_time,mean_score_time,std_score_time,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,mean_test_score,std_test_score
2.949,0.168,0.114,0.011,0.114,6,1051,15.228,0.001,0.44,0.016
2.741,0.054,0.088,0.011,0.25,9,1049,12.734,0.02,0.44,0.018
2.746,0.107,0.081,0.008,0.189,6,1415,19.145,1.217,0.439,0.018
2.489,0.106,0.097,0.008,0.171,8,638,12.474,0.118,0.439,0.016
3.389,0.152,0.167,0.013,0.14,7,548,14.161,94.499,0.438,0.017
3.825,0.053,0.105,0.004,0.237,8,1867,11.95,3.652,0.438,0.02
1.731,0.095,0.063,0.006,0.302,6,686,15.014,3.872,0.437,0.02
3.553,0.115,0.101,0.007,0.169,9,1765,20.018,9.127,0.437,0.013
1.91,0.079,0.075,0.004,0.243,7,564,11.364,0.0,0.437,0.016
3.624,0.134,0.133,0.014,0.185,9,1124,15.161,45.42,0.437,0.011
5.768,0.229,0.262,0.026,0.041,9,847,18.055,0.0,0.437,0.014
2.211,0.09,0.084,0.005,0.223,8,653,12.83,0.0,0.437,0.013
6.814,0.313,0.283,0.03,0.07,9,1521,9.737,0.001,0.436,0.011
4.709,0.305,0.188,0.023,0.061,8,1208,17.096,0.46,0.436,0.016
3.261,0.188,0.147,0.014,0.072,7,667,18.0,2.086,0.436,0.014
9.699,0.922,0.536,0.103,0.053,9,1324,8.0,0.005,0.436,0.016
6.844,0.471,0.269,0.037,0.077,9,1666,9.581,0.001,0.435,0.009
2.66,0.035,0.143,0.01,0.236,5,791,0.007,0.955,0.435,0.035
4.293,0.199,0.141,0.013,0.106,9,1690,17.252,0.0,0.434,0.014
3.09,0.096,0.118,0.006,0.119,8,943,15.1,0.079,0.434,0.012
4.941,0.129,0.157,0.017,0.092,9,1947,18.673,1.452,0.433,0.021
1.954,0.085,0.06,0.004,0.284,6,996,22.024,30.113,0.433,0.02
3.159,0.132,0.087,0.004,0.202,9,1574,19.382,0.002,0.433,0.021
2.523,0.049,0.092,0.008,0.288,8,812,7.791,0.003,0.433,0.01
7.519,0.155,0.364,0.019,0.042,9,693,8.166,0.383,0.433,0.013
3.806,0.26,0.142,0.006,0.221,9,1001,5.84,0.078,0.433,0.009
13.678,0.476,0.705,0.069,0.018,9,1318,0.83,41.041,0.432,0.013
6.476,0.166,0.353,0.03,0.038,6,1335,9.019,0.564,0.432,0.021
2.405,0.09,0.069,0.003,0.254,8,1171,21.453,10.23,0.432,0.016
4.801,0.292,0.238,0.036,0.093,7,801,7.508,3.487,0.432,0.021
4.51,0.145,0.167,0.023,0.093,7,1681,12.529,0.005,0.432,0.016
12.143,0.511,0.613,0.068,0.053,9,1731,6.33,5.117,0.432,0.013
3.209,0.07,0.105,0.006,0.163,6,1473,14.032,6.948,0.431,0.023
1.781,0.076,0.058,0.003,0.255,6,858,20.35,0.001,0.431,0.019
4.262,0.174,0.186,0.013,0.038,8,508,8.406,0.623,0.431,0.011
9.414,0.181,0.515,0.03,0.033,9,951,12.138,0.0,0.431,0.013
