mean_fit_time,std_fit_time,mean_score_time,std_score_time,C,class_weight,max_iter,penalty,mean_test_score,std_test_score
0.668,0.096,0.015,0.004,7.99,balanced,7680,l2,0.517,0.048
0.626,0.089,0.014,0.001,13.068,balanced,8983,l2,0.517,0.048
0.755,0.13,0.014,0.002,5.533,balanced,5171,l2,0.517,0.048
0.687,0.029,0.014,0.001,5.808,balanced,7060,l2,0.517,0.048
0.655,0.033,0.013,0.001,16.97,balanced,5090,l2,0.517,0.048
0.649,0.064,0.014,0.001,5.202,balanced,7269,l2,0.517,0.048
0.662,0.055,0.014,0.001,6.194,balanced,7271,l2,0.517,0.048
0.578,0.089,0.014,0.002,7.179,balanced,9162,l2,0.517,0.048
0.668,0.137,0.014,0.001,93.948,balanced,7739,l2,0.517,0.048
0.617,0.052,0.014,0.001,3.103,balanced,5070,l2,0.517,0.048
0.593,0.076,0.014,0.001,14.467,balanced,7374,l2,0.517,0.048
0.532,0.082,0.013,0.001,34.413,balanced,6333,l2,0.517,0.048
0.574,0.07,0.014,0.001,3.63,balanced,7041,l2,0.517,0.048
0.639,0.048,0.014,0.002,55.163,balanced,7736,,0.517,0.048
0.65,0.078,0.017,0.005,0.245,balanced,6878,,0.517,0.048
0.686,0.054,0.014,0.001,73.249,balanced,7136,,0.517,0.048
0.685,0.054,0.013,0.001,70.472,balanced,7374,,0.517,0.048
0.664,0.047,0.016,0.002,0.038,balanced,9758,,0.517,0.048
0.65,0.044,0.014,0.001,11.364,balanced,8597,,0.517,0.048
0.711,0.047,0.014,0.001,0.002,balanced,5264,,0.517,0.048
0.695,0.049,0.013,0.001,0.025,balanced,8353,,0.517,0.048
0.696,0.044,0.015,0.002,30.244,balanced,7922,,0.517,0.048
0.659,0.051,0.013,0.001,0.006,balanced,5204,,0.517,0.048
0.687,0.046,0.013,0.001,15.485,balanced,7563,,0.517,0.048
0.642,0.065,0.014,0.001,0.424,balanced,7982,,0.517,0.048
0.652,0.093,0.014,0.001,0.568,balanced,9613,,0.517,0.048
0.678,0.048,0.014,0.001,0.011,balanced,9687,,0.517,0.048
0.688,0.041,0.013,0.001,0.0,balanced,7155,,0.517,0.048
0.636,0.08,0.013,0.001,2.38,balanced,9200,,0.517,0.048
0.676,0.044,0.013,0.001,0.005,balanced,9339,,0.517,0.048
0.674,0.047,0.014,0.001,5.274,balanced,8148,,0.517,0.048
0.644,0.047,0.013,0.001,0.003,balanced,9175,,0.517,0.048
0.656,0.048,0.012,0.001,0.734,balanced,8341,,0.517,0.048
0.673,0.046,0.014,0.001,4.29,balanced,5640,,0.517,0.048
0.646,0.097,0.013,0.001,34.198,balanced,8827,,0.517,0.048
0.687,0.043,0.014,0.001,0.011,balanced,7957,,0.517,0.048
0.69,0.046,0.014,0.001,0.703,balanced,6183,,0.517,0.048
0.693,0.049,0.014,0.001,0.002,balanced,5577,,0.517,0.048
0.665,0.103,0.015,0.002,0.408,balanced,8937,,0.517,0.048
0.684,0.053,0.014,0.0,9.883,balanced,8787,,0.517,0.048
0.635,0.052,0.014,0.002,71.254,balanced,8916,,0.517,0.048
0.677,0.045,0.013,0.001,9.315,balanced,6289,,0.517,0.048
0.637,0.086,0.015,0.001,0.001,balanced,8767,,0.517,0.048
0.654,0.086,0.014,0.001,0.0,balanced,7751,,0.517,0.048
0.665,0.092,0.013,0.001,0.001,balanced,9283,,0.517,0.048
0.688,0.052,0.014,0.001,0.598,balanced,6597,,0.517,0.048
0.676,0.05,0.013,0.001,3.016,balanced,7609,,0.517,0.048
0.656,0.092,0.013,0.001,21.539,balanced,9370,,0.517,0.048
0.67,0.05,0.014,0.001,0.028,balanced,6715,,0.517,0.048
0.675,0.043,0.014,0.001,0.077,balanced,6839,,0.517,0.048
0.801,0.203,0.015,0.003,0.005,balanced,7707,,0.517,0.048
0.673,0.051,0.015,0.001,0.187,balanced,8094,,0.517,0.048
0.651,0.096,0.013,0.002,5.144,balanced,8667,,0.517,0.048
0.68,0.047,0.014,0.001,1.515,balanced,9341,,0.517,0.048
0.683,0.049,0.013,0.001,0.0,balanced,9103,,0.517,0.048
0.646,0.094,0.013,0.002,0.002,balanced,7506,,0.517,0.048
0.64,0.04,0.014,0.002,0.005,balanced,9788,,0.517,0.048
0.685,0.047,0.013,0.001,5.897,balanced,7790,,0.517,0.048
0.625,0.046,0.013,0.001,0.453,balanced,8528,,0.517,0.048
0.778,0.078,0.014,0.001,25.884,balanced,6832,,0.517,0.048
0.683,0.051,0.014,0.001,0.002,balanced,5553,,0.517,0.048
0.655,0.089,0.014,0.002,0.042,balanced,6169,,0.517,0.048
0.716,0.093,0.014,0.001,0.089,balanced,7215,,0.517,0.048
0.677,0.051,0.013,0.001,9.394,balanced,8253,,0.517,0.048
0.616,0.045,0.013,0.001,35.715,balanced,6007,,0.517,0.048
0.687,0.093,0.015,0.001,0.999,balanced,7368,,0.517,0.048
0.649,0.103,0.014,0.001,5.304,balanced,9957,,0.517,0.048
0.682,0.049,0.014,0.001,0.0,balanced,8435,,0.517,0.048
0.641,0.057,0.013,0.001,0.002,balanced,7298,,0.517,0.048
0.669,0.045,0.014,0.001,0.06,balanced,7102,,0.517,0.048
0.645,0.05,0.014,0.002,1.979,balanced,8818,,0.517,0.048
0.691,0.053,0.014,0.001,0.0,balanced,7358,,0.517,0.048
0.647,0.064,0.014,0.001,0.549,balanced,6579,,0.517,0.048
0.646,0.086,0.013,0.0,0.33,balanced,9613,,0.517,0.048
0.634,0.05,0.014,0.002,0.003,balanced,5605,,0.517,0.048
0.642,0.053,0.014,0.001,0.535,balanced,5848,,0.517,0.048
0.683,0.054,0.013,0.001,0.073,balanced,6757,,0.517,0.048
0.654,0.093,0.014,0.001,1.346,balanced,8255,,0.517,0.048
0.641,0.059,0.013,0.001,0.202,balanced,8319,,0.517,0.048
0.674,0.056,0.013,0.001,0.002,balanced,5472,,0.517,0.048
0.611,0.038,0.013,0.001,0.025,balanced,6231,,0.517,0.048
0.667,0.081,0.014,0.001,81.522,balanced,5400,,0.517,0.048
0.675,0.05,0.014,0.001,1.133,balanced,8915,,0.517,0.048
0.618,0.043,0.014,0.001,0.009,balanced,8453,,0.517,0.048
0.645,0.055,0.013,0.001,0.542,balanced,5531,,0.517,0.048
0.693,0.038,0.014,0.001,96.933,balanced,8920,,0.517,0.048
0.663,0.07,0.015,0.001,0.242,balanced,6494,,0.517,0.048
0.643,0.05,0.013,0.001,0.009,balanced,5406,,0.517,0.048
0.681,0.045,0.014,0.001,41.258,balanced,7943,,0.517,0.048
0.655,0.062,0.013,0.001,18.196,balanced,6588,,0.517,0.048
0.656,0.098,0.013,0.001,26.379,balanced,5007,,0.517,0.048
0.663,0.091,0.014,0.001,0.0,balanced,7246,,0.517,0.048
0.654,0.047,0.014,0.002,0.001,balanced,5963,,0.517,0.048
0.651,0.053,0.013,0.001,0.001,balanced,8046,,0.517,0.048
0.662,0.106,0.014,0.002,0.008,balanced,6954,,0.517,0.048
0.671,0.055,0.014,0.001,0.005,balanced,9393,,0.517,0.048
0.727,0.033,0.015,0.003,17.526,balanced,9554,,0.517,0.048
0.662,0.099,0.014,0.002,0.327,balanced,5567,,0.517,0.048
0.702,0.054,0.014,0.001,1.32,balanced,7597,,0.517,0.048
0.665,0.083,0.014,0.001,0.007,balanced,6510,,0.517,0.048
0.62,0.079,0.013,0.001,4.805,balanced,9909,,0.517,0.048
0.676,0.05,0.013,0.001,0.498,balanced,6435,,0.517,0.048
0.649,0.103,0.015,0.001,1.226,balanced,5569,,0.517,0.048
0.799,0.113,0.014,0.001,0.097,balanced,8568,,0.517,0.048
0.688,0.046,0.014,0.002,0.282,balanced,6492,,0.517,0.048
0.681,0.05,0.013,0.0,0.0,balanced,7178,,0.517,0.048
0.655,0.052,0.013,0.001,0.001,balanced,7702,,0.517,0.048
0.665,0.044,0.013,0.001,0.012,balanced,9680,,0.517,0.048
0.658,0.085,0.014,0.001,1.501,balanced,6858,,0.517,0.048
0.666,0.047,0.013,0.001,1.145,balanced,6134,,0.517,0.048
0.692,0.056,0.014,0.002,0.001,balanced,7373,,0.517,0.048
0.664,0.044,0.015,0.002,0.051,balanced,7426,,0.517,0.048
0.621,0.046,0.013,0.001,0.027,balanced,7419,,0.517,0.048
0.725,0.052,0.014,0.001,0.057,balanced,8794,,0.517,0.048
0.676,0.049,0.014,0.001,4.163,balanced,9043,,0.517,0.048
0.667,0.052,0.015,0.002,0.337,balanced,5081,,0.517,0.048
0.679,0.052,0.013,0.0,0.01,balanced,8444,,0.517,0.048
0.692,0.052,0.014,0.001,2.846,balanced,8440,,0.517,0.048
0.685,0.053,0.014,0.001,0.004,balanced,6187,,0.517,0.048
0.635,0.045,0.013,0.001,0.008,balanced,6953,,0.517,0.048
0.669,0.048,0.014,0.001,0.144,balanced,6250,,0.517,0.048
0.674,0.052,0.014,0.001,0.246,balanced,9284,,0.517,0.048
0.661,0.044,0.014,0.002,9.705,balanced,6043,,0.517,0.048
0.653,0.1,0.013,0.0,8.502,balanced,9169,,0.517,0.048
